notes,category
Change oil and filter,Routine Maintenance
Replace brake pads,Brake Work
Engine overheating,Engine Repair
Install new battery,Electrical
Align front wheels,Wheel Alignment
Replace windshield wipers,Routine Maintenance
Check transmission fluid,Transmission
Flush coolant system,Cooling System
Replace spark plugs,Engine Repair
Inspect brake discs,Brake Work
Wheel balancing,Wheel Alignment
Fix exhaust leak,Exhaust
Replace air filter,Routine Maintenance
Tire rotation,Tire Work
Adjust headlights,Electrical
Check air conditioning,HVAC
Replace timing belt,Engine Repair
Install new stereo system,Electrical
Repair suspension system,Suspension
Replace clutch,Transmission
